BD+062932        2  5272.00   4.43   0.06  -0.84  0.594849907E+01  0.841199473E+00  0.989950483E+06  0.717226863E+06  0.105244718E+07  0.154582137E+07  0.147994386E+07  0.141843583E+07  0.136242843E+07  0.130788457E+07  0.123900084E+07  0.117718810E+07  0.112051643E+07  0.106794054E+07  0.101723129E+07  0.956132392E+06  0.900953343E+06  0.850411116E+06  0.803385746E+06
BD+063077        3  6136.00   4.95   1.07  -0.36  0.225556977E+02  0.103714178E+01  0.135685212E+06  0.639307363E+05  0.222179091E+06  0.365222365E+06  0.353474396E+06  0.342484547E+06  0.332253882E+06  0.322282064E+06  0.309953266E+06  0.298622230E+06  0.288105422E+06  0.278031162E+06  0.268278543E+06  0.256770143E+06  0.246187303E+06  0.236273194E+06  0.226839386E+06
BD+083095        4  5728.00   4.12   0.85  -0.77  0.120177801E+02  0.136122478E+01  0.929246215E+06  0.550472879E+06  0.140938949E+07  0.174778993E+07  0.167794260E+07  0.161321484E+07  0.155260153E+07  0.149381303E+07  0.142232298E+07  0.135771020E+07  0.129716844E+07  0.124025725E+07  0.118498671E+07  0.112117310E+07  0.106279001E+07  0.100839331E+07  0.956727252E+06
BD-002387        5  4833.00   4.47   0.85   0.03  0.568406024E+01  0.108886697E+01  0.479053091E+06  0.341980230E+06  0.860674973E+06  0.121224502E+07  0.115995544E+07  0.111781770E+07  0.108424742E+07  0.105868273E+07  0.998823252E+06  0.949636317E+06  0.910228759E+06  0.878457662E+06  0.854129920E+06  0.799424639E+06  0.754483687E+06  0.718110027E+06  0.688971662E+06
BD-010184        6  4728.00   4.34   0.40  -0.34  0.333489198E+01  0.852836621E+00  0.376018066E+06  0.302576216E+06  0.483679004E+06  0.681515783E+06  0.648622028E+06  0.621831867E+06  0.600441544E+06  0.583298029E+06  0.546966141E+06  0.516701093E+06  0.492122474E+06  0.472298458E+06  0.455746216E+06  0.423438100E+06  0.396381801E+06  0.374099395E+06  0.355434652E+06
BD-012505        7  4741.00   4.51   0.44  -0.11  0.639929439E+00  0.825070172E+00  0.329018017E+07  0.339314730E+07  0.473036220E+07  0.685219629E+07  0.654288416E+07  0.629678609E+07  0.610075951E+07  0.595324460E+07  0.560344754E+07  0.531494716E+07  0.508614340E+07  0.490209376E+07  0.476414705E+07  0.444464222E+07  0.418353586E+07  0.397194169E+07  0.380137617E+07
BD-033746        8  4732.00   4.63   0.15  -0.90  0.566887739E+01  0.353698408E+00  0.946265847E+06  0.717210954E+06  0.637631408E+06  0.118175481E+07  0.111661297E+07  0.106042218E+07  0.101190228E+07  0.968203363E+06  0.900833066E+06  0.842941511E+06  0.793038400E+06  0.748853665E+06  0.709768744E+06  0.653198891E+06  0.604252614E+06  0.561959283E+06  0.524514990E+06
BD-034797        9  4622.00   4.21   0.30   0.06  0.313734301E+01  0.908233643E+00  0.440167940E+06  0.359436045E+06  0.709499313E+06  0.914101174E+06  0.872574257E+06  0.840376642E+06  0.816048161E+06  0.799131935E+06  0.751402855E+06  0.712930128E+06  0.682700313E+06  0.659590785E+06  0.642969035E+06  0.598679268E+06  0.562650252E+06  0.533413655E+06  0.510246836E+06
BD-044138       10  4604.00   4.39   0.38  -0.11  0.233640808E+01  0.605447672E+00  0.897524457E+06  0.770389115E+06  0.120482525E+07  0.170707944E+07  0.162600934E+07  0.156137360E+07  0.151200291E+07  0.147602836E+07  0.138328987E+07  0.130794218E+07  0.124779193E+07  0.120079242E+07  0.116546852E+07  0.107959040E+07  0.100921284E+07  0.951285647E+06  0.904185693E+06
BD-050484       11  4674.00   4.42   0.21  -0.39  0.390384219E+01  0.724692367E+00  0.796328916E+06  0.618311435E+06  0.910073385E+06  0.133456718E+07  0.126954152E+07  0.121580269E+07  0.117317773E+07  0.113944215E+07  0.106647847E+07  0.100663216E+07  0.956858209E+06  0.916900581E+06  0.883901264E+06  0.818345290E+06  0.763395542E+06  0.717623898E+06  0.679071398E+06
