BD+062932         2    1     103.850    5272.000      -0.840       4.430       0.060       4.466       0.841       0.898       4.548   10       0.881
BD+083095         4    1      91.680    5728.000      -0.770       4.120       0.850       4.294       1.361       1.410       4.193    7       1.299
BD-002387         5    1      68.210    4833.000       0.030       4.470       0.850       4.462       1.089       1.124       4.541   10       1.126
BD-010184         6    1      64.690    4728.000      -0.340       4.340       0.400       4.341       0.853       0.781       4.162    7       0.782
BD-012505         7    1     214.310    4741.000      -0.110       4.510       0.440       4.502       0.825       0.892       4.649   11       0.895
BD-033746         8    1     100.240    4732.000      -0.900       4.630       0.150       4.392       0.354       0.355       4.636   11       0.420
BD-034797         9    1      69.310    4622.000       0.060       4.210       0.300       4.411       0.908       0.975       4.401    9       0.904
BD-044138        10    1     102.350    4604.000      -0.110       4.390       0.380       4.545       0.605       0.808       4.801   13       0.724
BD-050484        11    1      91.930    4674.000      -0.390       4.420       0.210       4.386       0.725       0.666       4.236    7       0.674
BD-050578        12    1      75.600    5470.000       0.090       4.390       0.790       4.445       1.866       1.917       4.473   10       1.883
BD-053176        13    1     130.300    4758.000      -0.090       4.390       0.820       4.430       0.945       0.978       4.475   10       0.962
BD-053596        14    1      86.750    4594.000      -0.340       4.320       0.270       4.422       0.642       0.634       4.296    8       0.608
BD-054065        15    1      72.320    4895.000      -0.290       4.410       0.420       4.368       1.039       0.979       4.262    8       0.995
BD-060904        16    1     113.050    5066.000      -0.170       4.460       0.460       4.431       1.240       1.238       4.455   10       1.252
BD-063481        17    1     184.690    4815.000      -0.140       4.360       0.410       4.353       1.070       1.017       4.238    7       1.020
BD-064196        18    1      87.490    4688.000      -0.030       4.300       0.420       4.359       0.990       0.959       4.233    7       0.939
BD-064756        19    1     134.690    4646.000      -0.230       4.540       0.700       4.476       0.648       0.690       4.640   11       0.716
BD-082534        20    1     275.730    5405.000      -0.780       4.430       0.410       4.447       1.008       1.039       4.489   10       1.030
BD-082823        21    1     490.840    4816.000      -0.060       4.430       0.810       4.432       1.035       1.055       4.474   10       1.053
BD-084501        22    1      87.210    6216.000      -1.390       4.810       2.360       4.459       0.426       0.403       4.731   12       0.523
BD-090872        23    1      62.560    4660.000      -0.190       4.350       0.770       4.411       0.787       0.803       4.397    9       0.782
BD-091261        24    1     155.460    4717.000      -0.750       4.690       0.920       4.468       0.367       0.401       4.815   13       0.490
BD-092670        25    1      62.840    4806.000      -0.080       4.460       0.510       4.407       1.044       1.013       4.391    9       1.037
BD-094191        26    1      84.800    4804.000      -0.320       4.440       0.630       4.427       0.837       0.849       4.470   10       0.853
BD-112763        27    1     130.490    4911.000      -0.260       4.440       0.380       4.389       1.056       1.009       4.319    8       1.028
BD-120327        28    1      72.700    4680.000      -0.340       4.350       0.570       4.312       0.805       0.712       4.151    6       0.731
BD-130321        31    1     267.720    4772.000       0.020       4.410       0.780       4.468       1.003       1.067       4.540   11       1.041
BD-131161        32    1     111.720    5389.000       0.090       4.370       0.680       4.439       1.792       1.846       4.464   10       1.806
BD-140184        33    1      93.900    4714.000      -0.380       4.320       0.760       4.310       0.819       0.740       4.149    6       0.745
BD-145003        34    1      59.410    4640.000      -0.510       4.410       0.350       4.422       0.579       0.558       4.335    8       0.557
BD-160308        35    1     149.580    5183.000      -0.410       4.480       0.510       4.435       1.151       1.143       4.465   10       1.166
BD-160931        36    1      61.620    4840.000      -0.110       4.380       0.460       4.349       1.125       1.062       4.236    7       1.074
BD-170063        37    1     240.140    4665.000       0.010       4.190       0.570       4.346       1.002       1.009       4.205    7       0.943
BD-173242        38    1      79.810    4627.000      -0.290       4.480       0.310       4.453       0.615       0.655       4.582   11       0.665
BD-195953        39    1      74.970    4775.000      -0.140       4.510       0.710       4.432       0.927       0.915       4.482   10       0.946
BD-213153        40    1     263.680    4622.000      -0.170       4.380       0.760       4.435       0.703       0.759       4.544   10       0.741
BD-223528        41    1      86.740    4747.000      -0.170       4.280       0.630       4.320       1.002       0.944       4.157    7       0.929
CD-436810        43    1     164.180    6011.000      -0.440       4.410       1.090       4.358       1.751       1.688       4.316    8       1.722
CD-452997        45    1      84.820    5312.000      -0.840       4.390       0.240       4.378       0.977       0.944       4.323    8       0.951
CD-571633        46    1     188.320    5975.000      -0.850       4.460       1.140       4.588       0.972       1.167       4.792   13       1.088
HD10002          47    1     360.720    5313.000       0.170       4.400       0.820       4.397       1.833       1.821       4.380    9       1.823
HD100289         48    1     159.350    5483.000       0.030       4.420       0.700       4.431       1.836       1.852       4.445    9       1.845
HD100508         49    1     913.720    5449.000       0.390       4.420       0.860       4.404       2.177       2.161       4.395    9       2.171
HD100777         50    1     342.530    5536.000       0.250       4.330       0.810       4.346       2.200       2.172       4.286    8       2.163
HD101339         51    1     200.800    5731.000      -0.100       4.480       0.880       4.470       1.865       1.887       4.512   10       1.893
HD101367         52    1     126.310    5615.000       0.290       4.380       0.910       4.347       2.322       2.265       4.290    8       2.287
HD101581         53    1     399.940    4738.000      -0.520       4.460       0.660       4.416       0.648       0.636       4.425    9       0.651
HD101612         54    1     160.600    6281.000      -0.360       4.410       1.170       4.525       1.703       1.842       4.601   11       1.758
HD101644         55    1     328.090    5678.000      -0.560       4.580       0.720       4.565       1.235       1.312       4.699   12       1.321
HD101650         56    1     220.620    4626.000      -0.450       4.290       0.110       4.421       0.611       0.614       4.299    8       0.578
HD10166          57    1     105.760    5221.000      -0.390       4.480       0.740       4.443       1.195       1.195       4.481   10       1.214
HD10180          58    1    2857.520    5911.000       0.080       4.390       1.110       4.422       2.256       2.283       4.428    9       2.260
