BD+062932         2    1  0.84120  1.33519  1.27565  1.22134  1.17093  1.12298  1.06203  1.00737  0.95741  0.91102  0.86660  0.81316  0.76502  0.72113  0.68013
BD+083095         4    1  1.36122  1.75389  1.68274  1.61687  1.55473  1.49481  1.42267  1.35680  1.29573  1.23791  1.18192  1.11744  1.05844  1.00354  0.95140
BD-002387         5    1  1.08887  1.57478  1.50814  1.45435  1.41195  1.37975  1.30283  1.23976  1.18898  1.14881  1.11817  1.04729  0.98928  0.94215  0.90460
BD-010184         6    1  0.85284  1.10347  1.05051  1.00702  0.97181  0.94357  0.88454  0.83567  0.79544  0.76258  0.73574  0.68264  0.63836  0.60153  0.57078
BD-012505         7    1  0.82507  1.31511  1.25519  1.20697  1.16904  1.14025  1.07202  1.01618  0.97118  0.93551  0.90808  0.84596  0.79501  0.75341  0.71988
BD-033746         8    1  0.35370  0.65855  0.62171  0.59032  0.56299  0.53892  0.50086  0.46832  0.44019  0.41582  0.39427  0.36211  0.33472  0.31096  0.29029
BD-034797         9    1  0.90823  1.28371  1.22117  1.17242  1.13610  1.11161  1.03989  0.98246  0.93778  0.90404  0.88070  0.81657  0.76522  0.72441  0.69305
BD-044138        10    1  0.60545  1.10218  1.04719  1.00395  0.97123  0.94811  0.88579  0.83560  0.79595  0.76537  0.74308  0.68715  0.64180  0.60513  0.57595
BD-050484        11    1  0.72469  0.98794  0.93821  0.89752  0.86480  0.83875  0.78368  0.73824  0.70095  0.67057  0.64582  0.59666  0.55569  0.52163  0.49313
BD-050578        12    1  1.86600  2.44834  2.37198  2.30520  2.24660  2.19415  2.10704  2.03125  1.96520  1.90735  1.85575  1.77141  1.69826  1.63466  1.57900
BD-053176        13    1  0.94480  1.35807  1.29701  1.24781  1.20906  1.17960  1.10991  1.05285  1.00684  0.97036  0.94231  0.87873  0.82660  0.78405  0.74981
BD-053596        14    1  0.64153  0.91098  0.86301  0.82445  0.79439  0.77156  0.71833  0.67498  0.63998  0.61207  0.59015  0.54279  0.50365  0.47141  0.44472
BD-054065        15    1  1.03873  1.37849  1.31884  1.26890  1.22721  1.19239  1.12555  1.06936  1.02230  0.98299  0.94990  0.88886  0.83747  0.79422  0.75773
BD-060904        16    1  1.23980  1.71647  1.64955  1.59279  1.54466  1.50357  1.42792  1.36368  1.30932  1.26329  1.22397  1.15361  1.09397  1.04338  1.00043
BD-063481        17    1  1.07046  1.39888  1.33753  1.28745  1.24718  1.21544  1.14569  1.08806  1.04099  1.00299  0.97280  0.90895  0.85613  0.81260  0.77703
BD-064196        18    1  0.99045  1.30355  1.24273  1.19452  1.15754  1.13084  1.06123  1.00486  0.96013  0.92546  0.89998  0.83694  0.78579  0.74452  0.71195
