BD+062932        2  5272.00   4.43   0.06  -0.84  0.553797298E+01  0.148004134E+01  0.357686400E+07  0.258868640E+07  0.631628529E+07  0.578554605E+07  0.584735463E+07  0.589773567E+07  0.593499955E+07  0.595532975E+07  0.606562754E+07  0.616001829E+07  0.623842998E+07  0.630090059E+07  0.634148619E+07  0.650749119E+07  0.665104618E+07  0.677058040E+07  0.686532947E+07
BD+063077        3  6136.00   4.95   1.07  -0.36  0.279870233E+02  0.745691730E+00  0.490254371E+06  0.231276915E+06  0.681001209E+06  0.650997462E+06  0.653337846E+06  0.654249056E+06  0.654136243E+06  0.652525679E+06  0.657468705E+06  0.660777679E+06  0.662894796E+06  0.663371992E+06  0.662272373E+06  0.669600492E+06  0.675041657E+06  0.678877271E+06  0.680832361E+06
BD+083095        4  5728.00   4.12   0.85  -0.77  0.134693058E+02  0.103135684E+01  0.335752888E+07  0.200646253E+07  0.412728673E+07  0.404140693E+07  0.406323173E+07  0.407636034E+07  0.408135213E+07  0.407657560E+07  0.412015639E+07  0.415346382E+07  0.417669075E+07  0.418878173E+07  0.418849902E+07  0.425139297E+07  0.430021637E+07  0.433579427E+07  0.435668706E+07
BD-002387        5  4833.00   4.47   0.85   0.03  0.872623507E+01  0.452798871E+01  0.173090249E+07  0.113574203E+07  0.964635231E+07  0.838528270E+07  0.849312465E+07  0.859565686E+07  0.869520871E+07  0.878900753E+07  0.899250731E+07  0.918226526E+07  0.936156035E+07  0.953260941E+07  0.969394421E+07  0.100264090E+08  0.103303549E+08  0.106124024E+08  0.108766645E+08
BD-010184        6  4728.00   4.34   0.40  -0.34  0.632646379E+01  0.382506788E+01  0.135861895E+07  0.101434588E+07  0.629648401E+07  0.540822123E+07  0.550293666E+07  0.559316686E+07  0.568001213E+07  0.576207593E+07  0.593320902E+07  0.609139167E+07  0.623965822E+07  0.637994152E+07  0.651046018E+07  0.677030011E+07  0.700350071E+07  0.721661404E+07  0.741135931E+07
BD-012505        7  4741.00   4.51   0.44  -0.11  0.498895325E+01  0.444797721E+01  0.118879956E+08  0.110374589E+08  0.647936121E+08  0.534623458E+08  0.544060325E+08  0.553085775E+08  0.561781552E+08  0.570124824E+08  0.587163502E+08  0.602945710E+08  0.617757978E+08  0.631826916E+08  0.645158155E+08  0.671464274E+08  0.695310633E+08  0.717244520E+08  0.737681063E+08
BD-033746        8  4732.00   4.63   0.15  -0.90  0.690585357E+01  0.330927965E+01  0.341902379E+07  0.237399852E+07  0.114924693E+08  0.926485207E+07  0.942557733E+07  0.957336403E+07  0.970734309E+07  0.982190363E+07  0.101077981E+08  0.103651458E+08  0.105966232E+08  0.108024839E+08  0.109788622E+08  0.113843423E+08  0.117309867E+08  0.120276935E+08  0.122763656E+08
BD-034797        9  4622.00   4.21   0.30   0.06  0.750442570E+01  0.475047420E+01  0.159040365E+07  0.115846716E+07  0.993826839E+07  0.853738408E+07  0.873293462E+07  0.891813775E+07  0.909583325E+07  0.926606491E+07  0.960156328E+07  0.990909829E+07  0.101944708E+08  0.104637151E+08  0.107197261E+08  0.111892683E+08  0.116060622E+08  0.119839460E+08  0.123290210E+08
BD-044138       10  4604.00   4.39   0.38  -0.11  0.596967820E+01  0.343674928E+01  0.324291263E+07  0.251254655E+07  0.200185456E+08  0.164115168E+08  0.167817261E+08  0.171335378E+08  0.174727743E+08  0.177984125E+08  0.184324643E+08  0.190141796E+08  0.195562807E+08  0.200686378E+08  0.205525666E+08  0.214125970E+08  0.221671089E+08  0.228433820E+08  0.234525368E+08
BD-050484       11  4674.00   4.42   0.21  -0.39  0.718995438E+01  0.403240082E+01  0.287727546E+07  0.202138819E+07  0.138512211E+08  0.114772235E+08  0.117086968E+08  0.119288278E+08  0.121385700E+08  0.123382137E+08  0.127436126E+08  0.131165955E+08  0.134633444E+08  0.137895266E+08  0.140925360E+08  0.146596883E+08  0.151584604E+08  0.156016392E+08  0.160032248E+08
BD-050578       12  5470.00   4.39   0.79   0.09  0.508809137E+01  0.278586790E+01  0.177641157E+07  0.140975029E+07  0.587014025E+07  0.552170955E+07  0.556271476E+07  0.559469816E+07  0.561944750E+07  0.563338233E+07  0.570719506E+07  0.577152288E+07  0.582721038E+07  0.587452451E+07  0.591001773E+07  0.602529802E+07  0.612916055E+07  0.622281230E+07  0.630535336E+07
BD-053176       13  4758.00   4.39   0.82  -0.09  0.560751321E+01  0.439789905E+01  0.478617831E+07  0.409916774E+07  0.263994797E+08  0.229807324E+08  0.233048768E+08  0.236195398E+08  0.239251851E+08  0.242178766E+08  0.248279486E+08  0.253983525E+08  0.259355543E+08  0.264490968E+08  0.269367355E+08  0.279202924E+08  0.288184831E+08  0.296459195E+08  0.304205640E+08
