Sun-sky         3428.93  5777.00   4.44   1.00   0.00
BD+062932        103.85  5272.00   4.43   0.06  -0.84
BD+063077         31.19  6136.00   4.95   1.07  -0.36
BD+083095         91.68  5728.00   4.12   0.85  -0.77
BD-002387         68.21  4833.00   4.47   0.85   0.03
BD-010184         64.69  4728.00   4.34   0.40  -0.34
BD-012505        214.31  4741.00   4.51   0.44  -0.11
BD-033746        100.24  4732.00   4.63   0.15  -0.90
BD-034797         69.31  4622.00   4.21   0.30   0.06
BD-044138        102.35  4604.00   4.39   0.38  -0.11
BD-050484         91.93  4674.00   4.42   0.21  -0.39
BD-050578         75.60  5470.00   4.39   0.79   0.09
BD-053176        130.30  4758.00   4.39   0.82  -0.09
BD-053596         86.75  4594.00   4.32   0.27  -0.34
BD-054065         72.32  4895.00   4.41   0.42  -0.29
BD-060904        113.05  5066.00   4.46   0.46  -0.17
BD-063481        184.69  4815.00   4.36   0.41  -0.14
BD-064196         87.49  4688.00   4.30   0.42  -0.03
BD-064756        134.69  4646.00   4.54   0.70  -0.23
BD-082534        275.73  5405.00   4.43   0.41  -0.78
BD-082823        490.84  4816.00   4.43   0.81  -0.06
BD-084501         87.21  6216.00   4.81   2.36  -1.39
BD-090872         62.56  4660.00   4.35   0.77  -0.19
BD-091261        155.46  4717.00   4.69   0.92  -0.75
BD-092670         62.84  4806.00   4.46   0.51  -0.08
BD-094191         84.80  4804.00   4.44   0.63  -0.32
BD-112763        130.49  4911.00   4.44   0.38  -0.26
BD-120327         72.70  4680.00   4.35   0.57  -0.34
BD-123458        153.57  4803.00   4.86   0.43  -0.83
BD-130116        158.89  4615.00   4.33   0.61  -0.49
BD-130321        267.72  4772.00   4.41   0.78   0.02
BD-131161        111.72  5389.00   4.37   0.68   0.09
BD-140184         93.90  4714.00   4.32   0.76  -0.38
BD-145003         59.41  4640.00   4.41   0.35  -0.51
BD-160308        149.58  5183.00   4.48   0.51  -0.41
BD-160931         61.62  4840.00   4.38   0.46  -0.11
BD-170063        240.14  4665.00   4.19   0.57   0.01
BD-173242         79.81  4627.00   4.48   0.31  -0.29
BD-195953         74.97  4775.00   4.51   0.71  -0.14
BD-213153        263.68  4622.00   4.38   0.76  -0.17
BD-223528         86.74  4747.00   4.28   0.63  -0.17
CD-2310879         0.00  6788.00   4.67   1.82  -0.24
CD-436810        164.18  6011.00   4.41   1.09  -0.44
CD-4512460         0.00  5960.00   4.42   0.75  -0.86
CD-452997         84.82  5312.00   4.39   0.24  -0.84
CD-571633        188.32  5975.00   4.46   1.14  -0.85
HD10002          360.72  5313.00   4.40   0.82   0.17
HD100289         159.35  5483.00   4.42   0.70   0.03
HD100508         913.72  5449.00   4.42   0.86   0.39
HD100777         342.53  5536.00   4.33   0.81   0.25
HD101339         200.80  5731.00   4.48   0.88  -0.10
HD101367         126.31  5615.00   4.38   0.91   0.29
HD101581         399.94  4738.00   4.46   0.66  -0.52
HD101612         160.60  6281.00   4.41   1.17  -0.36
HD101644         328.09  5678.00   4.58   0.72  -0.56
HD101650         220.62  4626.00   4.29   0.11  -0.45
HD10166          105.76  5221.00   4.48   0.74  -0.39
HD10180         2857.52  5911.00   4.39   1.11   0.08
HD101930         753.59  5164.00   4.40   0.91   0.13
HD102117         977.48  5657.00   4.31   0.99   0.28
HD102136          81.48  5349.00   4.43   0.75  -0.09
HD102200         240.42  6185.00   4.59   1.52  -1.10
HD102300         150.45  5987.00   4.23   1.14  -0.31
HD102365        3543.38  5629.00   4.44   0.91  -0.29
HD102438        1855.85  5560.00   4.41   0.84  -0.29
HD102843          95.21  5432.00   4.35   0.79   0.16
HD103197         458.54  5250.00   4.45   0.84   0.22
HD103720         290.59  5017.00   4.43   0.90  -0.02
HD103891         519.04  6072.00   4.05   1.50  -0.19
HD103949         237.80  4881.00   4.48   0.49  -0.07
HD104006         553.63  5023.00   4.56   0.15  -0.78
HD104067        1473.42  4969.00   4.47   0.98  -0.06
HD104263         759.22  5477.00   4.34   0.81   0.02
HD104760A        148.73  5953.00   4.43   1.02   0.12
HD104800         634.84  5697.00   4.47   0.87  -0.79
HD104982        1018.93  5692.00   4.44   0.91  -0.19
HD105004         122.79  5756.00   4.33   0.80  -0.81
HD105671         154.85  4748.00   4.42   0.90  -0.02
HD105779         235.29  5792.00   4.51   0.91  -0.25
HD105837         854.34  5907.00   4.54   1.14  -0.51
HD105938         221.21  6208.00   4.27   1.60   0.03
HD106116        1929.03  5680.00   4.39   0.91   0.14
HD106275         498.76  5059.00   4.47   0.67  -0.09
HD106290          93.75  6012.00   4.55   1.03   0.13
HD10647         1116.27  6218.00   4.62   1.22   0.00
HD106589         113.97  5597.00   4.37   0.67  -0.23
HD10700        21460.01  5310.00   4.44   0.55  -0.52
HD107094         409.82  5562.00   4.54   0.74  -0.51
HD107148         367.78  5805.00   4.40   0.93   0.31
HD108063         694.90  6081.00   4.11   1.54   0.55
HD108147         916.78  6260.00   4.47   1.30   0.18
HD108309        1464.11  5775.00   4.23   1.08   0.12
HD108341         107.27  5122.00   4.45   0.64   0.04
HD108564         323.04  4818.00   4.67   0.26  -0.97
HD108768         138.87  5633.00   4.45   0.86   0.14
HD108935         155.04  4724.00   4.30   0.55   0.02
HD10895          141.30  5685.00   4.52   0.78  -0.27
HD109098         166.99  5888.00   4.14   1.24   0.06
HD109200        2888.47  5134.00   4.51   0.68  -0.31
HD109271         402.62  5783.00   4.28   0.97   0.10
HD109310         425.81  5922.00   4.55   1.15  -0.51
HD109368          89.07  4651.00   4.36   0.67  -0.23
HD109409        1853.09  5886.00   4.16   1.24   0.33
HD109423          99.19  5074.00   4.44   0.87  -0.07
HD109684         502.95  5992.00   4.38   1.22  -0.34
HD109723          82.99  5647.00   4.47   0.88  -0.04
HD109988         212.62  5193.00   4.46   0.81   0.14
HD110291          77.50  5480.00   4.38   0.69  -0.02
HD110557         202.46  5267.00   4.36   0.71  -0.06
HD110619         788.50  5613.00   4.51   0.83  -0.41
HD110668         106.33  5850.00   4.45   0.98   0.17
HD111031        1206.76  5801.00   4.39   1.05   0.27
HD111232         702.55  5460.00   4.43   0.62  -0.43
HD111515         536.26  5398.00   4.47   0.71  -0.61
HD111564         338.02  6004.00   4.37   1.13   0.07
HD111777         287.20  5666.00   4.46   0.82  -0.68
HD112100         118.99  5081.00   4.44   0.50  -0.16
HD11226         1286.66  6098.00   4.35   1.28   0.04
HD112283         103.90  6433.00   4.84   1.86  -0.13
HD112540         263.54  5523.00   4.52   0.74  -0.17
HD113101          92.73  5456.00   4.37   0.66  -0.07
HD113513          62.97  5751.00   4.54   0.94   0.17
HD113569         161.57  4994.00   4.41   0.41  -0.22
HD113679         167.77  5768.00   4.26   1.08  -0.61
HD11397          713.79  5564.00   4.46   0.75  -0.54
HD114076         462.38  5069.00   4.32   0.04  -0.47
HD114386         448.36  4910.00   4.39   0.19  -0.07
HD114561         152.53  5829.00   4.50   0.88  -0.07
HD114613        5347.94  5729.00   3.97   1.18   0.19
HD114729        1060.98  5844.00   4.19   1.23  -0.28
HD114747         885.23  5172.00   4.44   0.98   0.21
HD114783         799.54  5133.00   4.42   0.88   0.03
HD114853        1261.54  5705.00   4.44   0.92  -0.23
HD11505          755.22  5752.00   4.38   0.99  -0.22
HD115341         128.55  6058.00   4.55   1.10  -0.01
HD115499          42.78  5542.00   4.45   0.95   0.07
HD115585         700.22  5711.00   4.27   1.14   0.35
HD115617        7192.20  5558.00   4.36   0.81  -0.02
HD115674         853.58  5649.00   4.48   0.85  -0.17
HD115773         337.27  6312.00   4.23   1.57  -0.08
HD115902         100.79  5705.00   4.39   0.86  -0.01
HD11608          134.14  4959.00   4.32   0.56   0.22
HD116259         197.50  5700.00   4.21   0.99   0.11
HD116284         144.83  5213.00   3.87   0.83  -0.01
HD116410         182.35  5939.00   4.43   1.07   0.23
HD11683           54.62  5007.00   4.42   0.60  -0.21
HD116858         250.15  4990.00   4.52   0.77  -0.21
HD116883         126.84  4902.00   4.36   0.52  -0.20
HD116920         320.24  5015.00   4.46   0.68  -0.23
HD116963         101.74  4735.00   4.43   0.51  -0.06
HD1171           118.71  5293.00   4.47   0.48  -0.53
HD117105         843.81  5889.00   4.41   1.13  -0.29
HD117207         833.66  5667.00   4.32   1.01   0.22
HD117359         139.16  5246.00   4.43   0.68  -0.13
HD117618         680.07  5990.00   4.41   1.13   0.03
HD117938          83.63  4738.00   4.27   0.36  -0.13
HD118466         107.95  5049.00   4.34   0.49   0.20
HD118563         101.29  5477.00   4.45   0.68  -0.04
HD119173         585.96  5779.00   4.26   0.52  -0.62
HD119291         271.32  4611.00   4.22   0.59  -0.10
HD11938          221.58  4703.00   4.25   0.76   0.01
HD119503         105.21  4885.00   4.40   0.83  -0.04
HD119629         208.01  6250.00   4.17   1.73  -0.17
HD119638        1489.37  6069.00   4.42   1.22  -0.15
HD11964A        2240.54  5332.00   3.90   0.99   0.08
HD119782         480.01  5160.00   4.44   0.79  -0.07
HD119949        1009.41  6359.00   4.47   1.65  -0.41
HD120344         171.46  5623.00   4.42   0.65  -0.19
HD120362          37.65  5517.00   4.51   1.05   0.10
HD120491          77.04  4680.00   4.49   0.40  -0.34
HD121004         155.18  5687.00   4.48   0.76  -0.71
HD121504         555.67  6022.00   4.49   1.12   0.14
HD122308          99.72  5253.00   4.44   0.59  -0.32
HD122474         121.93  5716.00   4.37   0.88   0.13
HD122862        1382.41  5982.00   4.23   1.29  -0.12
HD123265         510.43  5338.00   4.29   0.85   0.19
HD123319         206.62  5619.00   4.56   0.67  -0.52
HD12345          486.48  5395.00   4.44   0.69  -0.21
HD123517         191.70  6082.00   4.08   1.53   0.09
HD123619         118.54  6166.00   4.45   1.38  -0.32
HD123651         105.14  5926.00   4.55   1.05  -0.48
HD1237           343.34  5514.00   4.50   1.09   0.07
HD12387          943.07  5700.00   4.39   0.93  -0.24
HD124106         316.28  5106.00   4.49   0.80  -0.17
HD124292        1038.87  5443.00   4.37   0.77  -0.13
HD124364         558.55  5584.00   4.48   0.83  -0.27
HD124785         347.31  5867.00   4.20   1.29  -0.56
HD125072        1289.44  5007.00   4.56   1.04   0.18
HD125184        2421.08  5680.00   4.10   1.13   0.27
HD125271          49.83  4779.00   4.33   0.36  -0.22
HD125455         776.79  5162.00   4.52   0.70  -0.18
HD125522          83.20  4839.00   4.45   0.40  -0.46
HD125595         784.45  4691.00   4.17   0.32   0.08
HD125612         482.35  5913.00   4.43   1.02   0.24
HD125881         862.63  6036.00   4.49   1.10   0.06
HD12617          329.58  4890.00   4.46   0.75   0.10
HD126525        1096.00  5638.00   4.37   0.90  -0.10
HD126681         288.26  5570.00   4.70   0.82  -1.15
HD126793         900.27  5904.00   4.43   1.22  -0.71
HD126803         165.93  5470.00   4.48   0.56  -0.61
HD126829         162.46  4726.00   4.51   0.82  -0.14
HD127124         221.36  5079.00   4.43   0.82  -0.04
HD128113          88.99  4922.00   4.28   0.35  -0.17
